구별,개수
강남구,47
종로구,44
송파구,37
동대문구,32
관약구,30
서초구,30
영등포구,27
노원구,25
광진구,24
강동구,24
성북구,24
강서구,24
양천구,23
중랑구,23
마포구,23
성동구,22
구로구,22
동작구,22
은평구,21
용산구,20
강북구,19
도봉구,18
중구,16
서대문구,15
금천구,14
