구별,개수
강남구,35
송파구,34
관악구,27
영등포구,27
종로구,26
노원구,26
구로구,24
강동구,24
성북구,24
마포구,23
서초구,22
강서구,21
양천구,21
동작구,21
강북구,20
동대문구,20
중랑구,20
은평구,17
금천구,14
성동구,14
중구,14
도봉구,13
광진구,13
용산구,11
서대문구,8
