번호,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
1045,승약국,,,,,,,37.6253944,127.01638840000001,강북구
1046,삼천약국,0900,2100,,,,,37.629565899999996,127.01764879999999,강북구
1047,서울진약국,0900,1430,,,0900,1330,37.646729,127.01768909999998,강북구
1048,어약국,0900,1400,,,,,37.6408138,127.01899409999999,강북구
1049,민정약국,0900,1800,,,,,37.615033000000004,127.03488359999999,강북구
1050,지영약국,0900,2100,,,,,37.641212700000004,127.016581,강북구
1051,우림약국,0900,2100,,,0930,2200,37.645221299999996,127.01582340000002,강북구
1052,대동약국,,,,,,,37.6221584,127.01980459999999,강북구
1053,요나약국,0900,2100,,,0900,2100,37.6193356,127.02068440000001,강북구
1054,시대약국,0900,2200,,,,,37.6200734,127.01795829999999,강북구
1055,수유태평양약국,0900,2130,,,,,37.6302064,127.0224133,강북구
1056,인수약국,0900,2100,,,,,37.6400855,127.0122653,강북구
1057,송도약국,0900,2000,,,,,37.638468200000005,127.02571100000002,강북구
1058,안국온누리약국,0900,2030,,,,,37.6413468,127.02525530000001,강북구
1059,희망약국,0900,1800,,,,,37.6264586,127.04536440000001,강북구
1060,한독약국,0900,2100,,,,,37.6388715,127.02196780000001,강북구
1061,대우약국,0930,1500,,,,,37.6345356,127.01760379999999,강북구
1062,노약국,0900,1300,,,,,37.6243923,127.0272372,강북구
1063,이원약국,0800,2230,,,0800,2300,37.6251016,127.01855149999999,강북구
1064,화신약국,0830,1600,,,,,37.6413568,127.01711850000001,강북구
1065,솔샘약국,0900,1700,,,,,37.61824620000001,127.02536780000001,강북구
1066,영진약국,1200,1900,,,,,37.6456717,127.02089850000002,강북구
1067,웰빙메디칼약국,0900,1800,1100,1800,,,37.625295200000004,127.02615039999999,강북구
1068,번동종로약국,0900,2200,,,,,37.627900399999994,127.0399432,강북구
1069,직영약국,0830,2130,,,,,37.6305217,127.0234878,강북구
1070,늘푸른약국,0900,2000,,,0900,2000,37.6125471,127.03334699999999,강북구
1071,신통일약국,0900,2130,,,,,37.636162899999995,127.03113090000001,강북구
1072,만남온누리약국,0900,2100,1100,2100,,,37.6629357,127.0122947,강북구
1073,누가약국,0900,1900,,,,,37.6193356,127.02068440000001,강북구
1074,부부약국,0900,1300,,,,,37.6119275,127.03504270000002,강북구
1075,메디팜한마음약국,0830,1900,,,,,37.628665999999996,127.0396808,강북구
1076,녹십자약국,0830,1630,,,,,37.6311034,127.02388909999998,강북구
