번호,약국명,일요일 시작,일요일 종료,위도,경도,구별
191,도봉태평양약국,900,2200,37.6535673,127.0504176,도봉구
192,건강제일녹십자약국,900,1800,37.6583229,127.0358637,도봉구
193,창동이화약국,900,1300,37.651399,127.0458986,도봉구
194,수락프라자약국,900,2230,37.6774161,127.054858,노원구
195,인덕약국,1200,1830,37.6308761,127.0610421,노원구
196,당고개약국,900,2200,37.6708273,127.0799769,노원구
197,오피앙약국,900,1400,37.6802689,127.0548694,노원구
198,나현약국,1000,2300,37.6563873,127.0696141,노원구
199,백조약국,1100,1930,37.6271512,127.0791017,노원구
200,새고운약국,1000,2000,37.6196709,127.074629,노원구
201,새봄약국,830,1600,37.6393876,127.0642707,노원구
202,i튼튼약국,900,1700,37.6244964,127.0729685,노원구
203,봄약국,900,1400,37.6530156,127.0613085,노원구
204,열린온누리약국,1000,2200,37.6252771,127.079689,노원구
205,수성약국,1000,2000,37.6589601,127.0614785,노원구
206,화랑대약국,930,1800,37.6207817,127.0836072,노원구
207,신동아약국,1000,2230,37.62644,127.0619091,노원구
208,새하늘약국,1100,2200,37.6498393,127.0612839,노원구
209,건강플러스약국,900,1300,37.6576842,127.0616951,노원구
210,중계상록수약국,900,1700,37.6508113,127.0759834,노원구
211,서부약국,1000,2100,37.6668466,127.056826,노원구
212,나라약국,1400,2100,37.6578283,127.0627077,노원구
213,새하늘약국,1100,2200,37.6466975,127.0657247,노원구
214,푸른바다약국,900,1500,37.6152064,127.0651538,노원구
215,삼호성심약국,830,1300,37.6244076,127.0655937,노원구
216,유진약국,1000,1900,37.612751,126.9152122,은평구
217,메디팜새경약국,1100,2130,37.6056872,126.9103486,은평구
218,예일태평양약국,900,1300,37.6111105,126.9168115,은평구
219,은빛약국,900,1800,37.6234309,126.9194399,은평구
220,참조은약국,1230,1800,37.5837873,126.9092266,은평구
221,예일태평양약국,900,1300,37.6199895,126.9199824,은평구
222,제중원약국,900,2130,37.5810703,126.9356344,서대문구
223,모범약국,1400,2200,37.5772302,126.9232234,서대문구
224,은하약국,1500,2000,37.589583,126.9427214,서대문구
225,은하약국,1500,2000,37.5821633,126.9236109,서대문구
226,완약국,600,2000,37.5954357,126.946106,서대문구
227,필온누리약국,1200,2100,37.5557016,126.9364107,서대문구
228,가족건강약국,800,2200,37.5071231,126.9622493,동작구
229,성대약국,900,2100,37.4999898,126.9325522,동작구
230,대형약국,1000,2000,37.5577749,126.9564155,서대문구
231,사러가약국,1000,2100,37.5671033,126.9296369,서대문구
