번호,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
430,소나무약국,1000,2200,37.6466623,127.0709672,노원구
431,백현약국,900,1400,37.5702876,127.0231642,중구
432,밝은미소약국,900,2000,37.4861035,126.9472808,관악구
433,가까운약국,900,1400,37.4861035,126.9472808,관악구
434,나라약국,830,1930,37.5753932,126.9104,서대문구
435,서리풀약국,1000,1800,37.4864621,127.0209426,서초구
436,엄약국,1000,2000,37.5712497,127.002988,종로구
437,은평자연약국,900,2200,37.6130966,126.9143849,은평구
438,곰돌이스타약국,900,1900,37.491914,126.9904974,서초구
439,서초제일약국,1000,2000,37.4839396,126.9955549,서초구
440,종로5가미래약국,900,2000,37.5711718,127.0012401,종로구
441,매일여는온누리약국,900,2400,37.5046802,127.0877732,송파구
442,경희궁햇살약국,900,1400,37.5811865,126.9711954,종로구
443,가산약국,830,1900,37.4760881,126.8931252,금천구
444,365일팜코리아약국,1000,2100,37.6698686,127.0432761,도봉구
445,창신사랑온누리약국,900,2000,37.5768766,127.0152236,종로구
446,난곡비타민약국,900,1900,37.4749083,126.9166153,관악구
447,힘찬약국,900,1600,37.6547598,127.0132586,도봉구
448,천사약국,800,1900,37.5494023,126.9143203,마포구
449,조약국,1000,2200,37.5745108,127.0387578,동대문구
450,종로온누리약국,830,2100,37.5718452,127.0104775,종로구
451,뉴프라임약국,900,2200,37.5096463,127.1238934,송파구
452,레몬약국,900,1300,37.6595527,127.0264273,도봉구
453,마장백화점약국,800,2300,37.576145,127.0387254,동대문구
454,해든튼튼약국,900,1300,37.4772734,127.1273388,송파구
455,교보약국,1130,1800,37.4812977,126.9534075,관악구
456,잔소리약국,1200,1900,37.5792296,126.9874697,종로구
457,유연약국,1000,1400,37.5549336,127.0367427,성동구
458,서울진약국,900,1330,37.6318863,127.0174721,강북구
459,테헤란건강약국,1700,2000,37.5035313,127.0510544,강남구
460,상봉햇살약국,1000,2000,37.618692,127.1047136,중랑구
461,세계로약국,830,1600,37.6134142,127.0644694,성북구
462,신이화약국,900,2230,37.5644208,127.0521129,성동구
463,으뜸약국,900,1430,37.4779201,127.1271843,송파구
464,대우약국,900,1700,37.4811834,126.8389507,구로구
465,논현천사약국,900,1900,37.507612,127.0340254,강남구
466,국제약국,1000,1800,37.5722258,127.0680969,동대문구
467,성모약국,900,2100,37.5049946,126.9462477,동작구
468,수태평양약국,900,2100,37.4979909,126.856915,구로구
469,도곡타워약국,1030,2130,37.5168188,127.0201196,강남구
470,가까운약국,900,2100,37.50267,126.9359036,동작구
471,에메랄드약국,1000,2200,37.5168147,127.0221321,강남구
472,365열린약국,1000,2300,37.4864085,126.9472347,관악구
473,광장약국,900,1400,37.4814353,126.9549042,관악구
474,화곡부성약국,900,2100,37.5318068,126.8576719,강서구
475,연세우리약국,900,2100,37.5607123,127.0359967,성동구
476,한마음약국,900,1900,37.5543228,126.9588501,마포구
477,대원사약국,1000,2000,37.6013476,127.0779816,중랑구
478,세곡온누리약국,900,2300,37.466266,127.1167873,강남구
479,가든건강약국,1000,1700,37.4774017,127.1225141,송파구
480,건강한약국,1100,2200,37.616906,127.0629135,노원구
481,인정약국,900,1300,37.4912666,126.8404118,구로구
482,서남온누리약국,1000,1300,37.5127167,126.8322679,양천구
483,중계우리들약국,1000,2200,37.639815,127.0686402,노원구
484,원당프라자약국,900,2200,37.4753367,126.9657279,관악구
485,스마트약국,1030,2400,37.5674458,127.0080556,중구
486,해피홈약국,900,1300,37.4926974,127.1455368,송파구
487,정릉약국,830,2030,37.6084987,127.0097622,성북구
488,태평양온누리약국,830,2100,37.5212075,126.8558538,양천구
489,서초메이플약국,1730,2130,37.4867122,127.031016,서초구
490,365열린약국,830,2200,37.4938656,126.8581879,구로구
491,나은약국,1100,2100,37.4825185,126.9005188,구로구
492,강동정문약국,900,1700,37.5367598,127.1347602,강동구
493,참정직한온누리약국,900,1500,37.5424569,127.1411513,강동구
494,마트온누리약국,1000,2330,37.5257763,126.8703272,양천구
495,생각하는약국,1700,2000,37.4473672,127.0553225,서초구
496,굿약국,1200,2200,37.5638919,126.9849166,중구
497,하이팜약국,1000,2200,37.6375145,126.9177904,은평구
498,우리재약국,830,1800,37.5668543,127.0532151,동대문구
499,웰약국,900,1300,37.5157197,127.1322328,송파구
500,경희고황약국,1000,1900,37.5931286,127.0524226,동대문구
501,라파온누리약국,900,2030,37.634,127.0416651,도봉구
502,천지당약국,1000,2000,37.4907935,126.9074899,영등포구
503,수서옵티마약국,1000,2100,37.4883342,127.10248,강남구
504,중앙제일약국,1000,2100,37.5221439,126.8745405,양천구
505,명동하이약국,1200,2300,37.5648596,126.9844949,중구
506,라온365온누리약국,900,1900,37.5412582,126.8400723,강서구
507,옵티마서울약국,900,1300,37.5554652,126.9737482,중구
508,압구정예주약국,900,2230,37.5084658,127.0271657,강남구
509,우리들위생약국,900,1800,37.5896747,127.0619789,동대문구
510,상봉햇살약국,1000,2000,37.596438,127.0935903,중랑구
511,노들약국,900,2200,37.5134185,126.944644,동작구
512,드림온누리약국,900,1500,37.6597623,127.048132,도봉구
513,상아약국,730,2100,37.6215279,127.0276699,강북구
514,준효약국,830,2200,37.6221579,127.0793627,노원구
515,합정파란문약국,1200,2100,37.5495927,126.9121968,마포구
516,현대온누리약국,900,2100,37.5184105,126.9778566,용산구
517,덕수약국,900,1200,37.6066393,127.0955549,중랑구
518,새암온누리약국,1100,1900,37.6356724,127.0238758,강북구
519,봄햇살약국,830,1500,37.6441142,126.9227323,은평구
